"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11054","test_ct07_campos_vazios[chromium]","pg_test","2026-01-13","passed","2026-01-13","","more_test","",""
"","11399","test_ct01_login_valido[chromium]","pg_test","2026-01-13","passed","2026-01-13","","more_test","",""
"","11099","test_ct02_senha_invalida[chromium]","pg_test","2026-01-13","passed","2026-01-13","","more_test","",""
"","11083","test_ct04_usuario_senha_invalidos[chromium]","pg_test","2026-01-13","passed","2026-01-13","","more_test","",""
"","11056","test_ct05_usuario_vazio[chromium]","pg_test","2026-01-13","passed","2026-01-13","","more_test","",""
"","11060","test_ct03_usuario_invalido[chromium]","pg_test","2026-01-13","failed","2026-01-13","","more_test","",""
"","11016","test_ct06_senha_vazia[chromium]","pg_test","2026-01-13","passed","2026-01-13","","more_test","",""
"","11096","test_ct08_case_sensitive[chromium]","pg_test","2026-01-13","passed","2026-01-13","","more_test","",""
